,comment_lengths,comments,mags,scores,times
61,544,"Respectfully sir, may i suggest that you have another unreported confi face to face n reconcile.  More important than the State is your relations with your lifelong siblings.   The media feeding frenzy will not help both you n your siblings. No use going down the blame game. Everyone contributes both to conflict n potentially reconciliation   Praying that the spirit of peace n Wisdom from on high will bring about healing n reconciliation.  With God there is always reconciliation where there is life  Sincere wishes for your mutual healings",3.2,0.2,2017-06-14T03:08:59+0000
62,282,"We are human, siblings should always discuss internally than in public. Saying such statement to damage relationship is a no no especially telling the public they lost confident of our PM. For me, this is a family issue rather than Singapore issue. I still believe and trust our PM.",1.9,0.1,2017-06-14T02:45:37+0000
63,169,"Ms Lee and Mr Lee  HY, pls keep your family matters behind the 4  walls. Don't hit your brother, who is PM of Singapore, below the belt! He is a highly respected person!",1.1,0.3,2017-06-14T02:59:22+0000
64,132,"Sir, I and my family are with you in this difficult time of malicious attacks against you. I question your brother's hidden motives.",0.5,0.2,2017-06-14T03:33:54+0000
65,314,"Stay Positive, our good & wise PM Lee HL!  We do understand the disagreements among siblings, but do not let the issue be a deterrent to your good quality time spent with your family.  Enjoy your well deserved break with them as you rarely have the time to do so, in lieu of your tight political office commitment.",1.7,0.5,2017-06-14T01:55:23+0000
66,386,"Sibling rivalries sometimes r unavoidable. Mr. LSL, Sir with full respect. If your late father had left his wish to have the family home demolished if no one stays there, so be it. The late LKY's legacy stays intact disregard of the old mansion been maintained or not. Concentrate on the administration of the state n not let this distract you from performing your duties to the nation.",1.4,0.1,2017-06-14T02:41:31+0000
67,206,Stay strong and dont worry too much. Enjoy Your vacation. This can be attended to when you return. We trust and support you. This is a family issue and we respect Your privacy in dealing with the situation.,2.2,0.3,2017-06-14T02:13:17+0000
68,172,"Yes, first of all, its family issues.Time wil heal.Dear PM, u take care of yourself, do t be disheartened. You are doung good, you are a good PM,Well loved n a good leader.",1.6,0,2017-06-14T01:52:49+0000
69,330,"This is not a case about demolishing the house. That is the family affair n the least of  issue.  There are serious accusation n which needs addressing. I hope  these accusation are addressed.   On another note, I personally feel that there should cap of maximum 2 terms for PM position. There must also be REAL check and balance.",1.3,0.1,2017-06-14T04:13:54+0000
70,520,"Keyword is equanimity.  Do not over react - the dust always eventually settles. In any case, most people believe that personal and family matters should remain private and will support that. Detractors will always attempt to inflame the situation but in any case they will always remain so. A measured response is difficult to make in times such as this but is a mark of a gentleman and true statesmanship. You will need to remain focused on the many problematic world issues. Above all, enjoy the rest of your holidays.",2.7,0,2017-06-14T02:33:44+0000
71,267,Please tell the government we don't need a house to remember late Mr Lee & his work. Most importantly we don't want to see a family break up because of a house despite of all the memories it entails or will invoke. Hope you still get to rest & enjoy your family time.,1,0.3,2017-06-14T02:21:49+0000
72,281,Lky said he wish the house to demolish but didn't said must be demolish becos he as a ex pm he understand as a leader you have to decide the pro and con of demolish a important building with singapore history. Dear pm we are behind you and trust that you will made a wise decision.,0.2,0,2017-06-14T02:28:53+0000
73,279,"PM, we trust and respect you and value the sacrifice that you and our Founding Father, the late LKY had done for Singapore and Singaporeans. Stay strong and continue leading us the way you have been doing. Deep down, we all now you have been doing a good job for us. God bless!!!",2.3,0.4,2017-06-14T02:43:21+0000
74,283,"Dear Sir, being a leader has its sacrifices and difficult decisions to make.   Thank you for leading us, and being willing to continue to lead us.   Let not the sentiments of Men validate your work, but rather, the realization of a Nation, as you and your team has envisioned for us.",1.1,0,2017-06-14T02:01:23+0000
75,418,"Prime Minister, you have contributed tremendously to our country since you became Prime Minister. Singaporeans appreciate your hardwork and sacrifices. Please take good care during this troublesome time when there is so much in the media involving you. You have been patient. We love who you are and what you have done for our nation. Jia you, stay focused on what needs to be done for Singapore for the years to come.",2.1,0.3,2017-06-15T06:13:29+0000
76,329,"And to all, (1) it is not just a family matter (2) it is not just a house (3) and it is not just airing dirty laundry. Take time to read the words, read between the lines, and you can see the gravity of the situation. Whether it is true or not, the only way to prove it is through our PM's actions. Singapore will be watching ???",1.5,0,2017-06-14T03:04:03+0000
